date,value (billions USD)
2001:Q1,2839.497
2001:Q2,2856.177
2001:Q3,2836.558
2001:Q4,2743.183
2002:Q1,2802.999
2002:Q2,2844.747
2002:Q3,2814.986
2002:Q4,2700.042
2003:Q1,2794.332
2003:Q2,2791.397
2003:Q3,2770.949
2003:Q4,2701.201
2004:Q1,2831.441
2004:Q2,2913.274
2004:Q3,2953.1
2004:Q4,2904.675
2005:Q1,3045.877
2005:Q2,3173.271
2005:Q3,3282.063
2005:Q4,3305.081
2006:Q1,3400.557
2006:Q2,3485.676
2006:Q3,3476.902
2006:Q4,3371.451
2007:Q1,3477.687
2007:Q2,3595.309
2007:Q3,3651.717
2007:Q4,3630.737
2008:Q1,3688.547
2008:Q2,3706.792
2008:Q3,3635.04
2008:Q4,3470.022
2009:Q1,3452.8
2009:Q2,3461.661
2009:Q3,3420.021
2009:Q4,3348.537
2010:Q1,3448.866
2010:Q2,3531.596
2010:Q3,3549.055
2010:Q4,3540.739
2011:Q1,3668.234
2011:Q2,3754.714
2011:Q3,3757.061
2011:Q4,3730.954
2012:Q1,3796.314
2012:Q2,3815.843
2012:Q3,3862.716
2012:Q4,3830.831
2013:Q1,3943.293
2013:Q2,4082.259
2013:Q3,4148.78
2013:Q4,4160.748
2014:Q1,4242.17
2014:Q2,4362.748
2014:Q3,4365.192
2014:Q4,4335.003
2015:Q1,4321.973
2015:Q2,4420.391
2015:Q3,4444.385
2015:Q4,4413.906
2016:Q1,4465.011
2016:Q2,4630.877
2016:Q3,4685.676
2016:Q4,4748.428
2017:Q1,4778.555
2017:Q2,4882.315
2017:Q3,4990.974
2017:Q4,5054.163
2018:Q1,5187.069
2018:Q2,5382.857
2018:Q3,5578.773
2018:Q4,5590.57
2019:Q1,5741.566
2019:Q2,5917.471
2019:Q3,6003.48
2019:Q4,6080.941
2020:Q1,6059.62
2020:Q2,5888.362
2020:Q3,6139.174
2020:Q4,6326.345
2021:Q1,6548.474
2021:Q2,6801.189
2021:Q3,6922.024
2021:Q4,7105.711
2022:Q1,7319.338
2022:Q2,7585.281
2022:Q3,7707.544
2022:Q4,7848.005
2023:Q1,7970.799
2023:Q2,8131.049
2023:Q3,8374.153
2023:Q4,8445.457
2024:Q1,8403.674
2024:Q2,8566.604
2024:Q3,8617.041
2024:Q4,8770.876
2025:Q1,8978.828
2025:Q2,9137.413
