date,value (billions USD)
2001:Q1,1947.028
2001:Q2,1951.662
2001:Q3,1909.069
2001:Q4,1817.916
2002:Q1,1855.375
2002:Q2,1875.524
2002:Q3,1832.497
2002:Q4,1719.534
2003:Q1,1799.889
2003:Q2,1797.93
2003:Q3,1783.467
2003:Q4,1701.793
2004:Q1,1805.212
2004:Q2,1860.975
2004:Q3,1883.098
2004:Q4,1830.643
2005:Q1,1944.055
2005:Q2,2031.068
2005:Q3,2108.39
2005:Q4,2108.248
2006:Q1,2167.88
2006:Q2,2235.216
2006:Q3,2217.738
2006:Q4,2099.243
2007:Q1,2180.375
2007:Q2,2265.597
2007:Q3,2302.048
2007:Q4,2262.207
2008:Q1,2295.248
2008:Q2,2313.176
2008:Q3,2245.395
2008:Q4,2093.967
2009:Q1,2101.539
2009:Q2,2121.9
2009:Q3,2114.745
2009:Q4,2064.452
2010:Q1,2148.168
2010:Q2,2215.741
2010:Q3,2221.506
2010:Q4,2202.562
2011:Q1,2298.92
2011:Q2,2358.709
2011:Q3,2331.826
2011:Q4,2289.401
2012:Q1,2339.71
2012:Q2,2351.621
2012:Q3,2377.737
2012:Q4,2344.826
2013:Q1,2443.148
2013:Q2,2563.791
2013:Q3,2614.401
2013:Q4,2616.645
2014:Q1,2663.828
2014:Q2,2759.445
2014:Q3,2763.319
2014:Q4,2720.773
2015:Q1,2696.314
2015:Q2,2781.453
2015:Q3,2796.134
2015:Q4,2754.199
2016:Q1,2766.019
2016:Q2,2895.911
2016:Q3,2914.633
2016:Q4,2953.031
2017:Q1,2944.73
2017:Q2,3012.317
2017:Q3,3080.509
2017:Q4,3116.388
2018:Q1,3206.264
2018:Q2,3364.414
2018:Q3,3523.583
2018:Q4,3512.687
2019:Q1,3670.846
2019:Q2,3856.017
2019:Q3,3960.599
2019:Q4,4053.223
2020:Q1,3951.621
2020:Q2,3699.177
2020:Q3,3858.399
2020:Q4,3952.016
2021:Q1,4101.789
2021:Q2,4283.281
2021:Q3,4334.716
2021:Q4,4450.071
2022:Q1,4588.958
2022:Q2,4774.232
2022:Q3,4836.346
2022:Q4,4912.568
2023:Q1,4968.215
2023:Q2,5065.17
2023:Q3,5240.287
2023:Q4,5244.725
2024:Q1,5134.97
2024:Q2,5235.904
2024:Q3,5232.64
2024:Q4,5332.436
2025:Q1,5494.54
2025:Q2,5606.114
